period;format;download_path;download_mode;path;missing_symbols;inputs_folder;data_folder;ft_CAGED
2015-05m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2015/CAGEDEST_052015.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_052015;";&CAGEDEST_052015.txt"
2015-06m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2015/CAGEDEST_062015.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_062015;";&CAGEDEST_062015.txt"
2015-07m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2015/CAGEDEST_072015.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_072015;";&CAGEDEST_072015.txt"
2015-08m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2015/CAGEDEST_082015.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_082015;";&CAGEDEST_082015.txt"
2015-09m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2015/CAGEDEST_092015.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_092015;";&CAGEDEST_092015.txt"
2015-10m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2015/CAGEDEST_102015.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_102015;";&CAGEDEST_102015.txt"
2015-11m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2015/CAGEDEST_112015.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_112015;";&CAGEDEST_112015.txt"
2015-12m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2015/CAGEDEST_122015.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_122015;";&CAGEDEST_122015.txt"
2016-01m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2016/CAGEDEST_012016.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_012016;";&CAGEDEST_012016.txt"
2016-02m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2016/CAGEDEST_022016.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_022016;";&CAGEDEST_022016.txt"
2016-03m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2016/CAGEDEST_032016.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_032016;";&CAGEDEST_032016.txt"
2016-04m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2016/CAGEDEST_042016.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_042016;";&CAGEDEST_042016.txt"
2016-05m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2016/CAGEDEST_052016.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_052016;";&CAGEDEST_052016.txt"
2016-06m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2016/CAGEDEST_062016.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_062016;";&CAGEDEST_062016.txt"
2016-07m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2016/CAGEDEST_072016.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_072016;";&CAGEDEST_072016.txt"
2016-08m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2016/CAGEDEST_082016.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_082016;";&CAGEDEST_082016.txt"
2016-09m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2016/CAGEDEST_092016.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_092016;";&CAGEDEST_092016.txt"
2016-10m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2016/CAGEDEST_102016.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_102016;";&CAGEDEST_102016.txt"
2016-11m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2016/CAGEDEST_112016.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_112016;";&CAGEDEST_112016.txt"
2016-12m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2016/CAGEDEST_122016.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_122016;";&CAGEDEST_122016.txt"
2017-01m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2017/CAGEDEST_012017.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_012017;";&CAGEDEST_012017.txt"
